% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 80.000, Arc radius: 500, Leg fase: 1
3,0.000,0.000, 219.609, 231.138, -57.647, -36.800, 115.200, 235.619, 35.609, 32.768, -93.510, 0.327, 1.287, -0.541;
3,0.010,0.010, 219.217, 232.276, -55.301, -36.982, 115.138, 235.297, 35.935, 34.038, -94.013, 0.326, 1.269, -0.503;
3,0.020,0.020, 218.824, 233.414, -52.967, -37.164, 115.075, 234.329, 36.260, 35.285, -94.476, 0.325, 1.247, -0.463;
3,0.030,0.030, 218.429, 234.551, -50.652, -37.346, 115.012, 232.719, 36.584, 36.506, -94.898, 0.324, 1.221, -0.422;
3,0.040,0.040, 218.034, 235.688, -48.362, -37.528, 114.949, 230.471, 36.906, 37.697, -95.278, 0.323, 1.191, -0.380;
3,0.050,0.050, 217.637, 236.824, -46.103, -37.710, 114.885, 227.591, 37.228, 38.854, -95.615, 0.322, 1.157, -0.337;
3,0.060,0.060, 217.239, 237.960, -43.882, -37.892, 114.822, 224.087, 37.549, 39.972, -95.908, 0.321, 1.119, -0.293;
3,0.070,0.070, 216.839, 239.097, -41.705, -38.074, 114.758, 219.970, 37.869, 41.050, -96.158, 0.320, 1.077, -0.250;
3,0.080,0.080, 216.439, 240.233, -39.578, -38.255, 114.694, 215.249, 38.187, 42.082, -96.364, 0.319, 1.033, -0.206;
3,0.090,0.090, 216.038, 241.368, -37.506, -38.437, 114.630, 209.938, 38.505, 43.067, -96.527, 0.318, 0.985, -0.163;
3,0.100,0.100, 215.636, 242.504, -35.495, -38.619, 114.566, 204.052, 38.822, 44.002, -96.647, 0.317, 0.934, -0.121;
3,0.110,0.110, 215.233, 243.640, -33.551, -38.801, 114.502, 197.607, 39.137, 44.883, -96.727, 0.315, 0.881, -0.079;
3,0.120,0.120, 214.830, 244.776, -31.680, -38.982, 114.437, 190.620, 39.451, 45.709, -96.766, 0.314, 0.826, -0.039;
3,0.130,0.130, 214.425, 245.912, -29.886, -39.164, 114.373, 183.111, 39.765, 46.479, -96.767, 0.313, 0.769, -0.001;
3,0.140,0.140, 214.019, 247.048, -28.174, -39.346, 114.308, 175.099, 40.077, 47.189, -96.730, 0.312, 0.711, 0.036;
3,0.150,0.150, 213.612, 248.184, -26.549, -39.528, 114.243, 166.608, 40.388, 47.840, -96.658, 0.311, 0.651, 0.072;
3,0.160,0.160, 213.205, 249.320, -25.016, -39.709, 114.178, 157.660, 40.698, 48.429, -96.553, 0.310, 0.590, 0.105;
3,0.170,0.170, 212.796, 250.455, -23.578, -39.891, 114.113, 148.280, 41.007, 48.957, -96.416, 0.309, 0.528, 0.137;
3,0.180,0.180, 212.387, 251.591, -22.241, -40.073, 114.047, 138.494, 41.315, 49.422, -96.249, 0.308, 0.465, 0.167;
3,0.190,0.190, 211.976, 252.727, -21.007, -40.255, 113.982, 128.328, 41.622, 49.824, -96.054, 0.307, 0.402, 0.195;
3,0.200,0.200, 211.564, 253.863, -19.879, -40.436, 113.916, 117.810, 41.928, 50.164, -95.833, 0.306, 0.339, 0.221;
3,0.210,0.210, 211.151, 254.998, -18.862, -40.618, 113.850, 106.969, 42.232, 50.440, -95.588, 0.305, 0.276, 0.245;
3,0.220,0.220, 210.737, 256.134, -17.958, -40.800, 113.784, 95.835, 42.535, 50.653, -95.320, 0.303, 0.213, 0.268;
3,0.230,0.230, 210.321, 257.269, -17.170, -40.981, 113.718, 84.438, 42.838, 50.803, -95.031, 0.302, 0.150, 0.289;
3,0.240,0.240, 209.904, 258.404, -16.499, -41.163, 113.651, 72.810, 43.139, 50.891, -94.723, 0.301, 0.088, 0.308;
3,0.250,0.250, 209.486, 259.538, -15.947, -41.345, 113.585, 60.983, 43.439, 50.917, -94.397, 0.300, 0.026, 0.326;
3,0.260,0.260, 209.066, 260.673, -15.517, -41.526, 113.518, 48.988, 43.738, 50.882, -94.053, 0.299, -0.035, 0.344;
3,0.270,0.270, 208.644, 261.806, -15.208, -41.708, 113.451, 36.859, 44.035, 50.785, -93.693, 0.298, -0.096, 0.360;
3,0.280,0.280, 208.221, 262.939, -15.023, -41.889, 113.383, 24.629, 44.332, 50.629, -93.318, 0.297, -0.157, 0.375;
3,0.290,0.290, 207.796, 264.072, -14.962, -42.070, 113.315, 12.331, 44.627, 50.412, -92.927, 0.295, -0.217, 0.391;
3,0.300,0.300, 207.369, 265.203, -15.024, -42.251, 113.247, -0.000, 44.922, 50.136, -92.522, 0.294, -0.276, 0.406;
3,0.310,0.310, 206.940, 266.334, -15.210, -42.433, 113.179, -12.331, 45.215, 49.801, -92.101, 0.293, -0.335, 0.421;
3,0.320,0.320, 206.509, 267.464, -15.519, -42.613, 113.110, -24.629, 45.507, 49.409, -91.665, 0.292, -0.393, 0.436;
3,0.330,0.330, 206.076, 268.593, -15.950, -42.794, 113.041, -36.859, 45.798, 48.959, -91.213, 0.291, -0.450, 0.452;
3,0.340,0.340, 205.641, 269.721, -16.502, -42.975, 112.972, -48.988, 46.088, 48.452, -90.745, 0.290, -0.507, 0.468;
3,0.350,0.350, 205.204, 270.848, -17.175, -43.155, 112.903, -60.983, 46.376, 47.888, -90.259, 0.289, -0.563, 0.486;
3,0.360,0.360, 204.764, 271.974, -17.964, -43.336, 112.833, -72.810, 46.664, 47.270, -89.755, 0.287, -0.619, 0.505;
3,0.370,0.370, 204.323, 273.098, -18.870, -43.516, 112.762, -84.438, 46.950, 46.596, -89.230, 0.286, -0.674, 0.525;
3,0.380,0.380, 203.878, 274.221, -19.889, -43.696, 112.692, -95.835, 47.235, 45.868, -88.684, 0.285, -0.728, 0.546;
3,0.390,0.390, 203.432, 275.342, -21.018, -43.875, 112.621, -106.969, 47.519, 45.087, -88.115, 0.284, -0.781, 0.569;
3,0.400,0.400, 202.983, 276.462, -22.255, -44.055, 112.549, -117.810, 47.802, 44.253, -87.521, 0.283, -0.834, 0.594;
3,0.410,0.410, 202.531, 277.581, -23.595, -44.234, 112.477, -128.328, 48.083, 43.367, -86.900, 0.282, -0.886, 0.621;
