% LegID, total_time, time, PosX, PosY, PosZ, VelX, VelY, VelZ, Q1, Q2, Q3, Delta_Q1, Delta_Q2, Delta_Q3
% Robot velocity: 80.000, Arc radius: 500, Leg fase: 1
5,0.000,0.000, 210.289, -198.849, -57.660, 32.000, 113.600, 235.619, -28.865, 39.926, -110.702, 0.370, 1.671, -1.033;
5,0.010,0.010, 210.577, -197.698, -55.327, 31.816, 113.646, 235.297, -28.493, 41.598, -111.702, 0.371, 1.672, -1.000;
5,0.020,0.020, 210.863, -196.547, -53.007, 31.632, 113.692, 234.329, -28.121, 43.266, -112.666, 0.372, 1.669, -0.964;
5,0.030,0.030, 211.148, -195.396, -50.706, 31.448, 113.738, 232.719, -27.748, 44.927, -113.593, 0.373, 1.660, -0.927;
5,0.040,0.040, 211.431, -194.245, -48.431, 31.263, 113.784, 230.471, -27.374, 46.573, -114.481, 0.374, 1.647, -0.888;
5,0.050,0.050, 211.713, -193.094, -46.187, 31.079, 113.829, 227.591, -26.998, 48.202, -115.328, 0.375, 1.629, -0.847;
5,0.060,0.060, 211.995, -191.943, -43.980, 30.895, 113.874, 224.087, -26.622, 49.808, -116.134, 0.376, 1.605, -0.806;
5,0.070,0.070, 212.275, -190.792, -41.817, 30.711, 113.919, 219.970, -26.245, 51.385, -116.898, 0.377, 1.577, -0.764;
5,0.080,0.080, 212.554, -189.642, -39.704, 30.527, 113.964, 215.249, -25.867, 52.929, -117.619, 0.378, 1.544, -0.721;
5,0.090,0.090, 212.833, -188.491, -37.646, 30.343, 114.009, 209.938, -25.488, 54.434, -118.297, 0.379, 1.506, -0.678;
5,0.100,0.100, 213.111, -187.341, -35.649, 30.159, 114.053, 204.052, -25.108, 55.897, -118.932, 0.380, 1.463, -0.635;
5,0.110,0.110, 213.389, -186.192, -33.718, 29.975, 114.098, 197.607, -24.727, 57.313, -119.526, 0.381, 1.415, -0.593;
